en,ta
decision process,தீர்மானச் செயன்முறை
trade libel,வியாபார அவதூறு
stagnation,தேங்கி நிற்றல்
privatization of information,தகவலின் தனியார் மயப்படுத்தல்
roll,வழக்கு  நிரல்
undisturbed possession,தொந்தரவற்ற உடைமை
company promoter,கம்பனி துவக்க்கக்காரர்
leverage,உந்துசக்தி
salary on reversion,மீள்வினைத் தொடர் வேதனம்
abstention,தவிர்தல்
activity,செயற்பாடு
hero,வீரன்
record editing,பதிவு திருத்தியமைத்தல்
land settlement scheme,காணி நிர்ணயத் திட்டம்
entrusted,ஒப்படைக்கப்பட்டது
separate opinion,வேறுபட்ட எண்ணம்
ceded territory,கையளித்த பிரதேசம்
reckless,கவனயீனமான
pro-source bias,மூலம்சார்பு பாரபட்சம்
compositional moving images,அமைப்புசார்ந்த நகரும் விம்பங்கள்
homophony,ஒத்திசைவு
educational development,கல்வி அபிவிருத்தி
small claims court,சிறு கோரிக்கைகள் நீதிமன்றம்
agency evaluation,முகவகக் கணிப்பீடு
scheme,திட்டம்
lapsed leave,காலங்கடந்த லீவு
acceleration,விரைவாக்கல்
intelligence scale,நுண்மதியளவுத் திட்டம்
dull (a),மந்தமான
power of dismissal,பதவிநீக்கத்திற்கான அதிகாரம்
extravagance,அளவுகடந்த செலவு
capitation grant,தலைவாரி அளிப்பு
pattern of culture,பண்பாட்டுக் கோலம்
advantageous,அநுகூலமான
questionnaire,வினாக்கொத்து
cinema,திரைப்படம்
government press,அரசு அச்சகம்
